NPSN,Nama_sekolah,Jenjang,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,SPP,Kurikulum,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Tanggal SK Pendirian,Umur,meter listrik,harga_listrik_per_bulan,luas tanah,Harga Tanah Pasaran per kecamatan,estimasi harga tanah sekolah,Website,is_surabaya,is_website,is_agama
69971908,TK. Islam Terpadu Nurul Hikmah,TK,A,209,8,9,4,8,1,1,300000,Kurikulum Merdeka,YAYASAN NURUL HIKMAH SIDOARJO,3,3,2018,7,100000,1360000000,,3500000,,-,0,0,1
20540089,SMK PEMUDA KRIAN,SMK,A,221,13,13,7,20,6,1,200000,Kurikulum Merdeka,,0,0,1974,51,15000,204000000,3916,2600000,10181600000,http://smkpemudakrian.com,0,1,0
20501860,SMA KATOLIK UNTUNG SUROPATI KRIAN,SMA,A,204,6,11,4,6,4,1,650000,Kurikulum Merdeka,YOHANNES GABRIEL,154,6,2022,3,66000,897600000,16440,2600000,42744000000,http://smakatolikkrian.sch.id,0,1,1
20539957,SMP AL FALAH DELTASARI,SMP,A,204,6,37,3,17,3,1,1550000,Kurikulum Merdeka,Yayasan Masjid Al Falah Surabaya,4,3,1991,34,15000,204000000,5200,7530000,39156000000,http://www.alfalahsby.com,0,1,1
20539973,SMP ISLAM PARLAUNGAN,SMP,A,203,8,21,5,13,4,1,400000,Kurikulum Merdeka,YAYASAN MADRASAH ISLAMIYAH MODERN,1,1,1979,46,33000,448800000,2250,7530000,16942500000,http://www.smpislamparlaunganwaru.sch.id,0,1,1
20532851,SD SASANA BHAKTI,SD,A,34,6,10,1,6,2,1,175000,Kurikulum Merdeka,YAYASAN PENDIDIKAN SASANA BHAKTI,4,4,1952,73,11000,149600000,792,7000000,5544000000,http://www.sdsasanabhakti.com,1,1,0
20540091,SMK PGRI 3 SIDOARJO,SMK,B,456,16,17,3,15,4,1,175000,Kurikulum Merdeka,Perwakilan YPLP PGRI Kabupaten Sidoarjo,17,3,1997,28,41503,564440800,2480,4500000,11160000000,smkpgri3sidoarjo.mysch.id,0,1,0
69973333,SMP MUHAMMADIYAH 10 SIDOARJO,SMP,B,199,7,16,7,9,2,1,650000,Kurikulum Merdeka,Pimpinan Daerah Muhammadiyah (PDM) Kab. Sidoarjo,108,9,2017,8,51000,693600000,5160,4500000,23220000000,https://www.smpm10si.sch.id,0,1,1
20502394,SDIT NURUL ISLAM,SD,B,198,10,11,3,12,0,1,450000,Kurikulum Merdeka,"Yayasan Pendidikan, Dakwah dan Sosial Nurul Islam",5,5,2002,23,2200,29920000,2475,750000,1856250000,-,0,0,1
20537102,SMP SANTA MARIA 2 SIDOARJO,SMP,A,189,7,10,6,8,4,1,900000,Kurikulum Merdeka,Yayasan Paratha Bhakti,10,5,2007,18,66000,897600000,11808,4500000,53136000000,http://smp-sda.sanmarosu-jatim.sch.id,0,1,1
20564064,SMKS PEMBANGUNAN SURABAYA,SMK,B,156,6,10,2,8,4,1,150000,Kurikulum Merdeka,Yayasan Global Cendekia Surabaya,1,1,2009,16,5300,72080000,7018,8890000,62390020000,http://smkpembangunansby.sch.id/,1,1,0
20501764,SMP ULUL ALBAB,SMP,A,184,6,20,6,11,2,1,650000,Kurikulum Merdeka,Yayasan Al-Thohiriyah Mergayu,1,1,2002,23,56000,761600000,248160,5500000,1364880000000,http://www.smpululalbab.sch.id,0,1,1
20540077,SMK ANTARTIKA 2 SIDOARJO,SMK,A,2326,67,67,10,40,5,1,140000,Kurikulum Merdeka,YAYASAN PENDIDIKAN WAHYUHANA SURABAYA,6,3,2002,23,115500,1570800000,8322,3500000,29127000000,http://smkantartika2-sda.sch.id,0,1,0
69965437,SMA Insan Cendekia Mandiri Boarding School,SMA,A,176,7,15,5,11,5,1,550000,Kurikulum Merdeka,Yayasan Yatim Mandiri Surabaya,1,1,2015,10,32000,435200000,36000,4500000,162000000000,http://www.sekolahicm.sch.id,0,1,1
20532508,SMP MAARIF 19,SMP,B,17,3,7,4,3,1,1,100000,Kurikulum Merdeka,LP. MA'ARIF NU KOTA SURABAYA,31,4,1978,47,2200,29920000,1000,7000000,7000000000,http://smpmaarif19surabaya.sch.id,1,1,0
20563548,TK AL FALAH DARUSSALAM,TK,A,172,12,19,2,12,0,1,375000,Kurikulum Merdeka,Yayasan Masjid Darussalam Tropodo,5,4,1991,34,3200,43520000,455,7530000,3426150000,http://www.alfalahdarussalam.sch.id,0,1,1
20540107,SMK TRISAKTI TULANGAN,SMK,A,803,25,25,3,20,1,1,100000,Kurikulum Merdeka,YAYASAN PENDIDIKAN DELTA BAHARI SIDOARJO,1,1,2007,18,66000,897600000,2261,1490000,3368890000,http://smktrisakti-tulangan.sch.id,0,1,0
20569034,SD ISLAM PLUS AS SYAFIIYAH,SD,A,162,6,6,1,6,2,1,315000,Kurikulum Merdeka,Yayasan Pondok Pesantren As-Syafi'iyah,2,2,1910,115,4500,61200000,884,3000000,2652000000,http://ponpes-assyafiiyah.com,0,1,1
20502387,SD MUHAMMADIYAH 2 WARU,SD,A,158,7,10,1,9,1,1,500000,Kurikulum Merdeka,Pimpinan Daerah Muhammadiyah (PDM) Kab. Sidoarjo,108,9,1978,47,20,272000,585,7530000,4405050000,http://sdmawar.co.id,0,1,1
20501670,SMP DARUL ULUM WARU,SMP,A,260,10,16,6,10,2,1,100000,Kurikulum Merdeka,yayasan pendidikan darul ulum waru,1,1,1980,45,10000,136000000,578,7530000,4352340000,http://smpdarululumwaru.blogspot.com,0,0,1
20540080,SMK BUDI UTOMO PRAMBON,SMK,A,166,7,12,5,7,2,1,100000,Kurikulum Merdeka,Pendidikan Budi Utomo,4,4,1986,39,5500,74800000,3600,1800000,6480000000,http://smkbudiutomoprambon.sch.id,0,1,0
20563988,TK DHARMA WANITA PERSATUAN TAWANGSARI 1,TK,B,62,4,4,1,5,0,0,100000,Kurikulum Merdeka,YAYASAN DHARMA WANITA PERSATUAN SIDOARJO,346,2,1984,41,1300,17680000,4095,5500000,22522500000,-,0,0,0
