NPSN,Nama_sekolah,Kota,,Kelurahan,Kecamatan,,Alamat lengkap,No.Telp,Website,RT dan RW,Kode Pos,Alamat,,,,,Jenjang,Kurikulum,Akreditasi,Kurikulum,Kepala Sekolah,Operator,Peserta Didik,No.Telp,Tanggal SK Operasional,Tanggal SK Pendirian,Umur,NPYP,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Harga Tanah Pasaran per kecamatan,luas tanah,estimasi harga tanah sekolah,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,meter listrik,per kWh,tarif per kWh,harga_listrik_per_bulan,is_website,is_agama,is_surabaya,SPP,Prediksi SPP
20540101,SMK PENERBANGAN DHARMA WIRAWAN SDOARJO,Kab. Sidoarjo,Sidoarjo,Pabean,Kec. Sedati,Sedati,"Jl. Abdur Rachman Saleh No.49, Pabean, Kec. Sedati, Kab. Sidoarjo, Jawa Timur 61253",031318665352,http://www.SMKpenerbangan-sda.net,18 / 7,61253,JL. ABDUR RACHMAN SALEH NO.49,JL. ABDUR RACHMAN SALEH NO.49,Jl. Abdur Rachman Saleh No.49,Jl. Abdur Rachman Saleh No.49,Jl. Abdur Rachman Saleh No.49,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Siman,GUNADI PONCOWISUDO,1018,318665352,2022,1987,38,AB4802,DHARMA WIRAWAN PEPABRI,10,4,5800000,2858,16576400000,27,29,13,35,3,1,10000,80000,1700,136000000,1,0,0,"Rp200,000",
20539960,SMP AL ISLAM KRIAN,Kab. Sidoarjo,Sidoarjo,Jeruk Gamping,Kec. Krian,Krian,"Jl. Kyai Mojo 18, Jeruk Gamping, Kec. Krian, Kab. Sidoarjo, Jawa Timur 61262",031318971281,-,1 / 1,61262,Kyai Mojo 18,Kyai Mojo 18,Kyai Mojo 18,Kyai Mojo 18,Jl. Kyai Mojo 18,SMP,Kurikulum Merdeka,A,Kurikulum Merdeka,Dyah Rakhmayanti,Idris Yudi Citra,1000,318971281,2010,1986,39,AE2840,Yayasan Perguruan Al-Islam Krian,4,4,2600000,3384,8798400000,31,43,12,42,7,1,259000,2072000,1700,3522400000,0,1,0,"Rp230,000",
20501712,SMK PGRI 1 SIDOARJO,Kab. Sidoarjo,Sidoarjo,Sekardangan,Kec. Sidoarjo,Sidoarjo,"Jl. Dr. Wahidin 130B, Sekardangan, Kec. Sidoarjo, Kab. Sidoarjo, Jawa Timur 61215",031318965709,http://smkpgri1sidoarjo.siap-sekolah.com/,0 / 0,61215,JL. DR. WAHIDIN 130B,JL. DR. WAHIDIN 130B,Jl. Dr. Wahidin 130B,Jl. Dr. Wahidin 130B,Jl. Dr. Wahidin 130B,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,SOEGIONO,Achmad Saiful Bakhri,968,318965709,2022,1979,46,AX2398,Perwakilan YPLP PGRI Kabupaten Sidoarjo,17,3,4500000,4106,18477000000,29,36,7,26,5,1,263000,2104000,1700,3576800000,1,0,0,,"Rp674,204"
20501762,SMP YPM 1 TAMAN,Kab. Sidoarjo,Sidoarjo,Ngelom,Kec. Taman,Taman,"Jl. Megare 30, Ngelom Taman, Ngelom, Kec. Taman, Kab. Sidoarjo, Jawa Timur 61257",031317881783,http://www.smpypm1sepanjang.sch.id,0 / 0,61257,"Megare 30, Ngelom Taman","Megare 30, Ngelom Taman","Megare 30, Ngelom Taman","Megare 30, Ngelom Taman","Jl. Megare 30, Ngelom Taman",SMP,Kurikulum Merdeka,A,Kurikulum Merdeka,Indah Murfidah,Wiwid Aliek Wiharja,965,317881783,2017,1976,49,AB0703,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,5500000,1875,10312500000,27,30,5,34,2,1,10600,84800,1700,144160000,1,0,0,,"Rp472,519"
20540104,SMK SENOPATI SEDATI,Kab. Sidoarjo,Sidoarjo,Betro,Kec. Sedati,Sedati,"Jl. Senopati No. 2, Betro, Kec. Sedati, Kab. Sidoarjo, Jawa Timur 61253",031318915186,http://smk-senopati.sch.id,16 / 8,61253,JL. SENOPATI NO. 2,JL. SENOPATI NO. 2,Jl. Senopati No. 2,Jl. Senopati No. 2,Jl. Senopati No. 2,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Fathoni,Rio Adi Trisna,944,318915186,2025,1995,30,AX8367,PERKUMPULAN PERKUMPULAN  LEMBAGA PENDIDIKAN SENOPATI,2,2,5800000,10400,60320000000,29,40,6,24,5,1,104999,839992,1700,1427986400,1,0,0,"Rp350,000",
20539965,SMP DARUL MUTAALLIMIN,Kab. Sidoarjo,Sidoarjo,TAWANGASRI,Kec. Taman,Taman,"Jl. Kh Raden Mas Ali No 1 Tawangsari, TAWANGASRI, Kec. Taman, Kab. Sidoarjo, Jawa Timur 61257",031317886644,http://www.smpdamin.com,1 / 1,61257,Jl. Kh Raden Mas Ali No 1 Tawangsari,Jl. Kh Raden Mas Ali No 1 Tawangsari,Jl. Kh Raden Mas Ali No 1 Tawangsari,Jl. Kh Raden Mas Ali No 1 Tawangsari,Jl. Kh Raden Mas Ali No 1 Tawangsari,SMP,Kurikulum Merdeka,A,Kurikulum Merdeka,Muhammad Faruq,Aminatuz Zuhriyah,877,317886644,1993,1993,32,AH1481,DARUL MUTA'ALLIMIN,4,3,5500000,2536,13948000000,25,40,5,26,2,1,5500,44000,1700,74800000,1,0,0,,"Rp578,946"
20540109,SMK YPM 4 TAMAN,Kab. Sidoarjo,Sidoarjo,Bringinbendo,Kec. Taman,Taman,"Jl. Raya Bringin Bendo No.1, Bringinbendo, Kec. Taman, Kab. Sidoarjo, Jawa Timur 61257",031317885362,http://www.smkypm4.sch.id,8 / 4,61257,JL. RAYA BRINGIN BENDO NO.1,JL. RAYA BRINGIN BENDO NO.1,Jl. Raya Bringin Bendo No.1,Jl. Raya Bringin Bendo No.1,Jl. Raya Bringin Bendo No.1,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Mohamad Ismunib,Resmawan Yuwono,858,317885362,2016,1993,32,AB0703,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,5500000,1848,10164000000,24,29,3,14,2,1,33000,264000,1700,448800000,1,0,0,,"Rp451,798"
69859774,SMA HANG TUAH 5,Kab. Sidoarjo,Sidoarjo,Candi,Kec. Candi,Candi,"Jl. M. Ridwan No.7, Candi, Kec. Candi, Kab. Sidoarjo, Jawa Timur 61271",031318056489,https://smahangtuah5.sch.id,13 / 5,61271,Jl. M. Ridwan No.7,Jl. M. Ridwan No.7,Jl. M. Ridwan No.7,Jl. M. Ridwan No.7,Jl. M. Ridwan No.7,SMA,Kurikulum Merdeka,A,Kurikulum Merdeka,Siti Aisyah,Nur Hadi,847,318056489,2022,2013,12,AB5048,HANG TUAH CABANG SURABAYA,35,6,2670000,8580,22908600000,24,38,13,24,4,1,197000,1576000,1700,2679200000,1,0,0,,"Rp794,288"
20501760,SMP YPM 3 TAMAN,Kab. Sidoarjo,Sidoarjo,Bringinbendo,Kec. Taman,Taman,"Jl. Raya Bringinbendo, Bringinbendo, Kec. Taman, Kab. Sidoarjo, Jawa Timur 61257",0317882440,http://www.smpypm3bringinbendo.sch.id,1 / 1,61257,Jl Raya Bringinbendo,Jl Raya Bringinbendo,Jl Raya Bringinbendo,Jl Raya Bringinbendo,Jl. Jl Raya Bringinbendo,SMP,Kurikulum Merdeka,A,Kurikulum Merdeka,Abdul Kirom,Harsono,813,7882440,2020,2008,17,AB0703,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,5500000,1626,8943000000,27,25,3,15,1,1,10600,84800,1700,144160000,1,0,0,,"Rp411,079"
20540107,SMK TRISAKTI TULANGAN,Kab. Sidoarjo,Sidoarjo,Kepadangan,Kec. Tulangan,Tulangan,"Jl. Raya Kepadangan 187, Kepadangan, Kec. Tulangan, Kab. Sidoarjo, Jawa Timur 61273",031318851047,http://smktrisakti-tulangan.sch.id,4 / 2,61273,JL. RAYA KEPADANGAN 187,JL. RAYA KEPADANGAN 187,Jl. Raya Kepadangan 187,Jl. Raya Kepadangan 187,Jl. Raya Kepadangan 187,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Sulis Setiawati,Indra Yanti,803,318851047,2023,2007,18,AI5067,YAYASAN PENDIDIKAN DELTA BAHARI SIDOARJO,1,1,1490000,2261,3368890000,25,25,3,20,1,1,66000,528000,1700,897600000,1,0,0,"Rp100,000",
